x,t,v
1293.2067451448058,0.0,91.0
1293.2067451448058,1.0,85.0
1293.2067451448058,2.0,81.0
1293.2067451448058,3.0,88.0
1293.2067451448058,4.0,84.0
1293.2067451448058,5.0,89.0
1293.2067451448058,6.0,84.0
1293.2067451448058,7.0,92.0
1293.2067451448058,8.0,90.0
1293.2067451448058,9.0,94.0
1293.2067451448058,10.0,89.0
1293.2067451448058,11.0,94.0
1293.2067451448058,12.0,94.0
1293.2067451448058,13.0,90.0
1293.2067451448058,14.0,82.0
1293.2067451448058,15.0,85.0
1293.2067451448058,16.0,87.0
1293.2067451448058,17.0,95.0
1293.2067451448058,18.0,85.0
1293.2067451448058,19.0,97.0
1293.2067451448058,20.0,86.0
1293.2067451448058,21.0,86.0
1293.2067451448058,22.0,84.0
1293.2067451448058,23.0,77.0
1293.2067451448058,24.0,88.0
1293.2067451448058,25.0,82.0
1293.2067451448058,26.0,96.0
1293.2067451448058,27.0,91.0
1293.2067451448058,28.0,88.0
1293.2067451448058,29.0,74.0
1293.2067451448058,30.0,92.0
1293.2067451448058,31.0,87.0
1293.2067451448058,32.0,73.0
1293.2067451448058,33.0,107.0
1293.2067451448058,34.0,83.0
1293.2067451448058,35.0,101.0
1293.2067451448058,36.0,87.0
1293.2067451448058,37.0,92.0
1293.2067451448058,38.0,96.0
1293.2067451448058,39.0,89.0
1293.2067451448058,40.0,92.0
1293.2067451448058,41.0,70.0
1293.2067451448058,42.0,94.0
1293.2067451448058,43.0,84.0
1293.2067451448058,44.0,91.0
1293.2067451448058,45.0,95.0
1293.2067451448058,46.0,98.0
1293.2067451448058,47.0,90.0
1293.2067451448058,48.0,77.0
1293.2067451448058,49.0,88.0
1293.2067451448058,50.0,83.0
1293.2067451448058,51.0,94.0
1293.2067451448058,52.0,99.0
1293.2067451448058,53.0,86.0
1293.2067451448058,54.0,85.0
1293.2067451448058,55.0,93.0
1293.2067451448058,56.0,98.0
1293.2067451448058,57.0,89.0
1293.2067451448058,58.0,85.0
1293.2067451448058,59.0,96.0
1293.2067451448058,60.0,83.0
1293.2067451448058,61.0,75.0
1293.2067451448058,62.0,79.0
1293.2067451448058,63.0,91.0
1293.2067451448058,64.0,87.0
1293.2067451448058,65.0,86.0
1293.2067451448058,66.0,87.0
1293.2067451448058,67.0,88.0
1293.2067451448058,68.0,88.0
1293.2067451448058,69.0,86.0
1293.2067451448058,70.0,85.0
1293.2067451448058,71.0,83.0
1293.2067451448058,72.0,83.0
1293.2067451448058,73.0,88.0
1293.2067451448058,74.0,93.0
