x,t,v
407.44839244929426,14.149999999999999,114.0
407.44839244929426,19.15,102.0
407.44839244929426,37.15,101.0
407.44839244929426,65.15,125.0
407.44839244929426,75.15,98.0
407.44839244929426,89.15,102.0
407.44839244929426,148.15,99.0
407.44839244929426,182.15,103.0
407.44839244929426,193.15,95.0
407.44839244929426,196.15,114.0
407.44839244929426,197.15,88.0
407.44839244929426,200.15,103.0
407.44839244929426,207.15,103.0
407.44839244929426,208.15,115.0
407.44839244929426,209.15,102.0
407.44839244929426,211.15,100.0
407.44839244929426,221.15,96.0
407.44839244929426,222.15,93.0
407.44839244929426,227.15,115.0
407.44839244929426,230.15,106.0
407.44839244929426,231.15,86.0
407.44839244929426,233.15,110.0
407.44839244929426,236.15,91.0
407.44839244929426,237.15,105.0
708.9565462636865,0.14999999999999858,57.666666666666664
708.9565462636865,1.1499999999999986,64.0
708.9565462636865,2.1499999999999986,28.333333333333332
708.9565462636865,3.1499999999999986,35.333333333333336
708.9565462636865,4.149999999999999,30.0
708.9565462636865,5.149999999999999,35.333333333333336
708.9565462636865,6.149999999999999,30.666666666666668
708.9565462636865,7.149999999999999,32.333333333333336
708.9565462636865,8.149999999999999,64.33333333333333
708.9565462636865,12.149999999999999,28.0
708.9565462636865,13.149999999999999,30.333333333333332
708.9565462636865,14.149999999999999,56.666666666666664
708.9565462636865,16.15,31.666666666666668
708.9565462636865,18.15,105.66666666666667
708.9565462636865,19.15,32.333333333333336
708.9565462636865,20.15,32.0
708.9565462636865,23.15,40.0
708.9565462636865,24.15,29.666666666666668
708.9565462636865,25.15,68.66666666666667
708.9565462636865,27.15,28.0
708.9565462636865,29.15,30.0
708.9565462636865,30.15,36.0
708.9565462636865,31.15,34.0
708.9565462636865,32.15,34.0
708.9565462636865,33.15,46.333333333333336
708.9565462636865,35.15,28.0
708.9565462636865,36.15,33.0
708.9565462636865,37.15,31.0
708.9565462636865,38.15,31.333333333333332
708.9565462636865,39.15,35.333333333333336
708.9565462636865,40.15,32.666666666666664
708.9565462636865,41.15,63.0
708.9565462636865,42.15,37.666666666666664
708.9565462636865,43.15,34.666666666666664
708.9565462636865,44.15,27.0
708.9565462636865,46.15,21.0
708.9565462636865,47.15,27.333333333333332
708.9565462636865,49.15,27.0
708.9565462636865,50.15,35.0
708.9565462636865,51.15,30.0
708.9565462636865,52.15,33.0
708.9565462636865,53.15,31.0
708.9565462636865,54.15,52.666666666666664
708.9565462636865,55.15,31.333333333333332
708.9565462636865,56.15,27.333333333333332
