id,starttijd,before,after
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-10 03:18:55,2020-03-10 03:18:55,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-25 07:26:02,2020-03-25 07:26:02,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-22 06:43:22,2020-03-22 06:43:22,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-07 01:21:04,2020-03-07 01:21:04,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-10 02:42:35,2020-03-10 02:42:35,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-26 09:14:42,2020-03-26 09:14:42,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-09 03:58:22,2020-03-09 03:58:22,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-03 19:59:11,2020-03-03 19:59:11,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-02 05:33:42,2020-03-02 05:33:42,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
no_incident_camera_baseRWS01_MONIBAS_0201hrr0319ra_2020-03-27 06:46:12,2020-03-27 06:46:12,"""{\""RWS01_MONIBAS_0201hrr0285ra\"": 3000.0, \""RWS01_MONIBAS_0201hrr0284ra\"": 2839.976189568402, \""RWS01_MONIBAS_0201hrr0257ra\"": 431.05659007992244}""","""{\""RWS01_MONIBAS_0201hrr0288ra\"": 3231.814935862123, \""RWS01_MONIBAS_0201hrr0291ra\"": 3533.7924432076416, \""RWS01_MONIBAS_0201hrr0295ra\"": 3924.3419620541467, \""RWS01_MONIBAS_0201hrr0298ra\"": 4231.080458587956, \""RWS01_MONIBAS_0201hrr0301ra\"": 4614.416258398908, \""RWS01_MONIBAS_0200vwa0303ra\"": 4743.437957210798, \""RWS01_MONIBAS_0201hrr0306ra\"": 5026.462277661043, \""RWS01_MONIBAS_0201hrr0309ra\"": 5396.736692551054, \""RWS01_MONIBAS_0201hrr0312ra\"": 5673.210200071818, \""RWS01_MONIBAS_0201hrr0315ra\"": 5961.9439339821965, \""RWS01_MONIBAS_0201hrr0319ra\"": 6311.120786673314}"""
