id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:00:00,2020-03-04 02:01:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:00:00,2020-03-04 02:01:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:00:00,2020-03-04 02:01:00,,,1,1,0,0,180,92.0,92.0,lane3,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:01:00,2020-03-04 02:02:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:01:00,2020-03-04 02:02:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:01:00,2020-03-04 02:02:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane3,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:02:00,2020-03-04 02:03:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:02:00,2020-03-04 02:03:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:02:00,2020-03-04 02:03:00,,,1,1,0,0,60,84.0,84.0,lane3,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:03:00,2020-03-04 02:04:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:03:00,2020-03-04 02:04:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:03:00,2020-03-04 02:04:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane3,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:04:00,2020-03-04 02:05:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:04:00,2020-03-04 02:05:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:04:00,2020-03-04 02:05:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane3,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F1A,2020-03-04 02:05:00,2020-03-04 02:06:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane1,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F3A,2020-03-04 02:05:00,2020-03-04 02:06:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane2,anyVehicle
RWS01_MONIBAS_0151hrl0533ra,F5A,2020-03-04 02:05:00,2020-03-04 02:06:00,,0.0,1,0,0,0,0,-1.0,-1.0,lane3,anyVehicle
